name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,68,120480200,,yes,school,,"POLYGON ((-112.0388373 33.0585249, -112.0385905 33.0588756, -112.038376 33.0589205, -112.0384218 33.0590707, -112.0381775 33.0591094, -112.0381507 33.0589925, -112.0380648 33.0590194, -112.0380166 33.0590959, -112.0379629 33.0590869, -112.0378556 33.0590914, -112.037802 33.0591408, -112.0377727 33.0590707, -112.0375981 33.0590869, -112.037644 33.0593225, -112.0373996 33.0593521, -112.0373221 33.0589583, -112.0370188 33.058997, -112.0369734 33.0587964, -112.0372816 33.0587317, -112.0372173 33.0584664, -112.037464 33.058417, -112.0375391 33.0586733, -112.0376089 33.0586688, -112.0376464 33.0585878, -112.0377752 33.0586508, -112.0379122 33.0586346, -112.0379444 33.0585492, -112.0379951 33.0586283, -112.0380517 33.0585492, -112.038038 33.0584619, -112.0382877 33.0584053, -112.0383277 33.0585069, -112.0384755 33.0584727, -112.0385828 33.0584907, -112.0386603 33.0584125, -112.0388373 33.0585249))",POINT (-112.0378837 33.0588065),9075.3,97685.4
,69,921807061,,yes,,,"POLYGON ((-111.9898393 33.2699385, -111.9897008 33.2700565, -111.9899931 33.2702963, -111.9901268 33.2701824, -111.9900949 33.2701563, -111.9901167 33.2701377, -111.9898897 33.2699516, -111.9898728 33.2699659, -111.9898393 33.2699385))",POINT (-111.9899224 33.2701115),762.9,8211.6
,70,257531381,,yes,,,"POLYGON ((-112.0467417 33.0618397, -112.0467352 33.0622743, -112.0462035 33.0622687, -112.04621 33.0618341, -112.0467417 33.0618397))",POINT (-112.0464726 33.0620542),2393.5,25763.6
,71,231522172,,yes,,,"POLYGON ((-111.9821584 33.0085368, -111.982049 33.0085363, -111.9820705 33.0051028, -111.98218 33.0051033, -111.9821584 33.0085368))",POINT (-111.9821145 33.0068195),3882.7,41793.2
,72,231522145,,yes,,,"POLYGON ((-111.9780896 33.0048441, -111.9780891 33.0030188, -111.9779877 33.0030188, -111.9779881 33.0048441, -111.9780896 33.0048441))",POINT (-111.9780386 33.0039316),1922.8,20696.8
,73,231522239,,yes,,,"POLYGON ((-111.9807145 33.0039723, -111.9803337 33.0039723, -111.9803337 33.0039115, -111.9807145 33.0039115, -111.9807145 33.0039723))",POINT (-111.9805241 33.0039419),240.0,2583.0
,74,449516593,,house,,,"POLYGON ((-112.0421569 33.0583984, -112.042111 33.058296, -112.0420022 33.0583303, -112.0420481 33.0584327, -112.0421569 33.0583984))",POINT (-112.0420796 33.0583644),131.5,1415.2
,75,231522168,,yes,,,"POLYGON ((-111.9755064 33.0089815, -111.9754185 33.0089812, -111.9754201 33.0086347, -111.975508 33.008635, -111.9755064 33.0089815))",POINT (-111.9754633 33.0088081),315.3,3393.8
,76,231522251,,yes,,,"POLYGON ((-111.9806354 33.0085356, -111.9805259 33.0085352, -111.9805337 33.0071578, -111.9805773 33.0071581, -111.9806432 33.007158, -111.9806354 33.0085356))",POINT (-111.9805846 33.0078467),1564.9,16844.8
,77,191591662,,yes,,,"POLYGON ((-112.0522049 33.0569279, -112.0520356 33.0568288, -112.0521061 33.0567442, -112.0522754 33.0568434, -112.0522049 33.0569279))",POINT (-112.0521555 33.0568361),221.1,2380.1
,78,191591675,,yes,,,"POLYGON ((-112.0601227 33.0519246, -112.0601227 33.0519983, -112.0599726 33.0519983, -112.0599726 33.0519246, -112.0599442 33.0519246, -112.0599442 33.0515875, -112.0601496 33.0515875, -112.0601496 33.0519246, -112.0601227 33.0519246))",POINT (-112.060047 33.0517843),831.0,8944.4
